table_name,datetime,rows
streaming_data,2023-08-29 03:45:00,45
historical_data,2023-08-29 03:45:18,2203
streaming_data,2023-08-29 04:07:41,50
streaming_data,2023-08-29 04:21:09,53
historical_data,2023-08-29 04:46:42,2203
streaming_data,2023-08-29 04:46:55,58
streaming_data,2023-08-29 04:51:22,59
historical_data,2023-08-29 05:08:27,2203
streaming_data,2023-08-29 05:15:56,64
streaming_data,2023-08-29 05:50:44,71
streaming_data,2023-08-29 10:07:20,122
historical_data,2023-08-29 10:07:39,2203
streaming_data,2023-08-29 10:49:05,130
streaming_data,2023-08-29 10:50:04,131
streaming_data,2023-08-29 10:51:05,131
streaming_data,2023-08-29 10:52:04,131
streaming_data,2023-08-29 10:53:04,131
streaming_data,2023-08-29 10:54:04,131
streaming_data,2023-08-29 10:55:04,132
streaming_data,2023-08-29 10:56:04,132
streaming_data,2023-08-29 10:57:05,132
streaming_data,2023-08-29 10:58:05,132
streaming_data,2023-08-29 10:59:04,132
streaming_data,2023-08-29 11:00:04,133
streaming_data,2023-08-29 11:01:05,133
streaming_data,2023-08-29 11:02:03,133
streaming_data,2023-08-29 11:03:04,133
streaming_data,2023-08-29 11:04:05,133
streaming_data,2023-08-29 11:05:04,134
streaming_data,2023-08-29 11:06:04,134
streaming_data,2023-08-29 11:07:03,134
streaming_data,2023-08-29 11:08:04,134
streaming_data,2023-08-29 11:09:03,134
streaming_data,2023-08-29 09:52:03,119
historical_data,2023-08-29 09:52:56,2203
historical_data,2023-08-29 09:53:30,2203
historical_data,2023-08-29 09:55:38,2203
streaming_data,2023-08-29 09:56:03,120
streaming_data,2023-08-29 09:57:06,120
streaming_data,2023-08-29 10:50:31,131
historical_data,2023-08-29 10:51:17,2203
historical_data,2023-08-29 11:31:12,2203
historical_data,2023-08-29 11:36:47,2203
